feature_clean,feature_missing,feature_outliers,feature_constant,feature_near_constant,feature_high_card,feature_redundant,category,target
107.45071229516849,63.99355436586002,10.0,constant_value,A,id_0,106.66297213427285,cat_B,1
97.92603548243223,59.246336829127685,-0.14451867071551783,constant_value,A,id_1,97.1880375324861,cat_D,0
109.71532807151038,50.59630369920174,-0.7924199209999613,constant_value,A,id_2,109.69145966750565,cat_B,1
122.84544784612038,43.53063222294426,-0.3079615296390403,constant_value,A,id_3,120.71521425033346,cat_B,0
96.48769937914996,56.982233136135896,-10.0,constant_value,A,id_4,95.03772378074825,cat_A,0
96.4879456457623,53.934853854217494,0.21329370737293857,constant_value,A,id_5,96.17228439676082,cat_C,0
123.68819223261087,58.95193220027733,0.0012054753622242368,constant_value,A,id_6,124.16388826482347,cat_C,1
111.51152093729362,56.351718016819696,-0.8170886310681906,constant_value,A,id_7,110.70994699921495,cat_B,1
92.95788421097572,60.49552715319335,0.6592456684324051,constant_value,A,id_8,92.76027373295403,cat_A,0
108.13840065378947,44.64764788439432,0.9375701376265584,constant_value,A,id_9,106.52494124565185,cat_D,1
93.04873460781306,63.173940656343255,-1.6075598643689741,constant_value,A,id_10,93.98121846008338,cat_C,0
93.01405369644614,51.975996046923996,-0.7627247785662142,constant_value,A,id_11,93.23413602600712,cat_B,1
103.62943407349051,70.75260872625265,-0.7691423497872982,constant_value,A,id_12,103.93797997612972,cat_C,1
71.30079633013304,43.10812181910432,-0.9399031011088647,constant_value,A,id_13,71.78904694811793,cat_C,0
74.12623251230451,,0.8294748419317485,constant_value,A,id_14,74.2043600157993,cat_D,1
91.5656870613854,51.979107834626475,-0.19382613877280352,constant_value,A,id_15,91.0819143028114,cat_A,0
84.80753319498365,43.48581996385552,-0.26451484131061076,constant_value,A,id_16,85.93718774370396,cat_D,0
104.71370998892911,45.16114165945678,-2.0038623644067535,constant_value,A,id_17,104.87059113668988,cat_A,0
86.37963886718184,46.7965269180568,0.6354180302092264,constant_value,A,id_18,86.21391943850841,cat_C,0
78.81544447997062,54.241659464019165,-1.2392583948534726,constant_value,A,id_19,78.80678982605012,cat_B,1
121.98473153382331,55.228354880355,0.05993263026632825,constant_value,A,id_20,121.95476646733457,cat_D,0
96.61335549270197,44.26299996061421,0.2773769379581917,constant_value,A,id_21,96.43758988877666,cat_A,0
101.01292307031886,49.756454077390174,1.360658595838651,constant_value,A,id_22,101.45902943282677,cat_C,1
78.62877720679815,71.42270358611864,-1.308820399119112,constant_value,A,id_23,77.69291698467578,cat_A,1
91.83425913212226,67.27543170100711,-3.0195121558208253,constant_value,A,id_24,90.97146809638195,cat_A,0
101.66383884564799,54.36323669674032,0.18384954475369486,constant_value,A,id_25,102.22310253507662,cat_A,1
82.73509633866546,50.380034781682,1.8005111815108537,constant_value,A,id_26,82.58985699793766,cat_C,0
105.63547027518509,51.200313267182615,1.2389463529394373,constant_value,A,id_27,106.60686337732818,cat_B,1
90.99041965121792,56.13517972730416,0.20965941527462578,constant_value,A,id_28,91.39929865184979,cat_B,0
95.62459375310085,39.77207434801595,-0.49163618563204736,constant_value,A,id_29,95.07196584302463,cat_B,0
